date,season,thi_extreme,thi_bin,wind_profile,hour
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.6274,19
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.6206,20
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.595,21
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.5596,22
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.5215,23
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.4863,0
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.4624,1
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.4365,2
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.4172,3
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.394,4
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.3728,5
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.357,6
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.3467,7
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.328,8
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.2778,9
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.2268,10
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.2079,11
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.1993,12
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.1948,13
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.1896,14
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.1852,15
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.1864,16
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.2418,17
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.3442,18
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.4243,19
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.4768,20
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.5093,21
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.5283,22
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.5337,23
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.534,0
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.536,1
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.537,2
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.5405,3
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.5454,4
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.5483,5
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.5547,6
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.56,7
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.5503,8
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4429,9
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.3027,10
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.2822,11
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.316,12
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.356,13
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.3894,14
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4094,15
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4204,16
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.5703,17
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.6333,18
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.645,19
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.6436,20
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.6416,21
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.645,22
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.659,23
2007-01-19,winter,38.4134,"(35.0, 40.0]",0.676,0
